皇城天塔索引,怪物entryId,等级（要求）,能否组队,怪物列表,通关奖励,关卡序号,关卡名称,奖励预览
209,9019910,0,0,"[2]=9019909,[3]=9019909,[4]=9019909,[5]=9019909,[6]=9019909,[8]=9019909,[9]=9019909,[10]=9019910,[11]=9019909,[12]=9019909","{""exp"",54300000},{""funds"",228900}",199,第199关,"{""exp"",54300000},{""funds"",228900}"
210,9020010,0,0,"[2]=9020009,[3]=9020009,[4]=9020009,[5]=9020009,[6]=9020009,[8]=9020009,[9]=9020009,[10]=9020010,[11]=9020009,[12]=9020009","{""exp"",54600000},{""funds"",572250}",200,第200关,"{""exp"",54600000},{""funds"",572250}"
211,9020110,0,0,"[2]=9020109,[3]=9020109,[4]=9020109,[5]=9020109,[6]=9020109,[8]=9020109,[9]=9020109,[10]=9020110,[11]=9020109,[12]=9020109","{""exp"",54800000},{""item"",60019,66}",201,第201关,"{""exp"",54800000},{""item"",60019,66}"
212,9020210,0,0,"[2]=9020209,[3]=9020209,[4]=9020209,[5]=9020209,[6]=9020209,[8]=9020209,[9]=9020209,[10]=9020210,[11]=9020209,[12]=9020209","{""exp"",55100000},{""funds"",235700}",202,第202关,"{""exp"",55100000},{""funds"",235700}"
213,9020310,0,0,"[2]=9020309,[3]=9020309,[4]=9020309,[5]=9020309,[6]=9020309,[8]=9020309,[9]=9020309,[10]=9020310,[11]=9020309,[12]=9020309","{""exp"",55400000},{""funds"",589250}",203,第203关,"{""exp"",55400000},{""funds"",589250}"
214,9020410,0,0,"[2]=9020409,[3]=9020409,[4]=9020409,[5]=9020409,[6]=9020409,[8]=9020409,[9]=9020409,[10]=9020410,[11]=9020409,[12]=9020409","{""exp"",55600000},{""item"",60019,66}",204,第204关,"{""exp"",55600000},{""item"",60019,66}"
215,9020510,0,0,"[2]=9020509,[3]=9020509,[4]=9020509,[5]=9020509,[6]=9020509,[8]=9020509,[9]=9020509,[10]=9020510,[11]=9020509,[12]=9020509","{""exp"",55900000},{""funds"",242600}",205,第205关,"{""exp"",55900000},{""funds"",242600}"
216,9020610,0,0,"[2]=9020609,[3]=9020609,[4]=9020609,[5]=9020609,[6]=9020609,[8]=9020609,[9]=9020609,[10]=9020610,[11]=9020609,[12]=9020609","{""exp"",56200000},{""funds"",606500}",206,第206关,"{""exp"",56200000},{""funds"",606500}"
217,9020710,0,0,"[2]=9020709,[3]=9020709,[4]=9020709,[5]=9020709,[6]=9020709,[8]=9020709,[9]=9020709,[10]=9020710,[11]=9020709,[12]=9020709","{""exp"",56400000},{""item"",60019,66}",207,第207关,"{""exp"",56400000},{""item"",60019,66}"
218,9020810,0,0,"[2]=9020809,[3]=9020809,[4]=9020809,[5]=9020809,[6]=9020809,[8]=9020809,[9]=9020809,[10]=9020810,[11]=9020809,[12]=9020809","{""exp"",56700000},{""funds"",249600}",208,第208关,"{""exp"",56700000},{""funds"",249600}"
219,9020910,0,0,"[2]=9020909,[3]=9020909,[4]=9020909,[5]=9020909,[6]=9020909,[8]=9020909,[9]=9020909,[10]=9020910,[11]=9020909,[12]=9020909","{""exp"",57000000},{""funds"",624000}",209,第209关,"{""exp"",57000000},{""funds"",624000}"
220,9021010,0,0,"[2]=9021009,[3]=9021009,[4]=9021009,[5]=9021009,[6]=9021009,[8]=9021009,[9]=9021009,[10]=9021010,[11]=9021009,[12]=9021009","{""exp"",57200000},{""item"",60019,66}",210,第210关,"{""exp"",57200000},{""item"",60019,66}"
221,9021110,0,0,"[2]=9021109,[3]=9021109,[4]=9021109,[5]=9021109,[6]=9021109,[8]=9021109,[9]=9021109,[10]=9021110,[11]=9021109,[12]=9021109","{""exp"",57500000},{""funds"",256700}",211,第211关,"{""exp"",57500000},{""funds"",256700}"
222,50000003,0,0,"[2]=9021209,[3]=9021209,[4]=9021209,[5]=9021209,[6]=9021209,[8]=9021209,[9]=9021209,[10]=9021210,[11]=9021209,[12]=9021209","{""exp"",57800000},{""funds"",641750}",212,第212关,"{""exp"",57800000},{""funds"",641750}"
223,9021310,0,0,"[2]=9021309,[3]=9021309,[4]=9021309,[5]=9021309,[6]=9021309,[8]=9021309,[9]=9021309,[10]=9021310,[11]=9021309,[12]=9021309","{""exp"",58000000},{""item"",60019,66}",213,第213关,"{""exp"",58000000},{""item"",60019,66}"
224,9021410,0,0,"[2]=9021409,[3]=9021409,[4]=9021409,[5]=9021409,[6]=9021409,[8]=9021409,[9]=9021409,[10]=9021410,[11]=9021409,[12]=9021409","{""exp"",58300000},{""funds"",263900}",214,第214关,"{""exp"",58300000},{""funds"",263900}"
225,9021510,0,0,"[2]=9021509,[3]=9021509,[4]=9021509,[5]=9021509,[6]=9021509,[8]=9021509,[9]=9021509,[10]=9021510,[11]=9021509,[12]=9021509","{""exp"",58600000},{""funds"",659750}",215,第215关,"{""exp"",58600000},{""funds"",659750}"
226,9021610,0,0,"[2]=9021609,[3]=9021609,[4]=9021609,[5]=9021609,[6]=9021609,[8]=9021609,[9]=9021609,[10]=9021610,[11]=9021609,[12]=9021609","{""exp"",58800000},{""item"",60019,66}",216,第216关,"{""exp"",58800000},{""item"",60019,66}"
227,9021710,0,0,"[2]=9021709,[3]=9021709,[4]=9021709,[5]=9021709,[6]=9021709,[8]=9021709,[9]=9021709,[10]=9021710,[11]=9021709,[12]=9021709","{""exp"",59100000},{""funds"",271200}",217,第217关,"{""exp"",59100000},{""funds"",271200}"
228,50000003,0,0,"[2]=9021809,[3]=9021809,[4]=9021809,[5]=9021809,[6]=9021809,[8]=9021809,[9]=9021809,[10]=9021810,[11]=9021809,[12]=9021809","{""exp"",59400000},{""funds"",678000}",218,第218关,"{""exp"",59400000},{""funds"",678000}"
229,9021910,0,0,"[2]=9021909,[3]=9021909,[4]=9021909,[5]=9021909,[6]=9021909,[8]=9021909,[9]=9021909,[10]=9021910,[11]=9021909,[12]=9021909","{""exp"",59600000},{""item"",60019,72}",219,第219关,"{""exp"",59600000},{""item"",60019,72}"
230,9022010,0,0,"[2]=9022009,[3]=9022009,[4]=9022009,[5]=9022009,[6]=9022009,[8]=9022009,[9]=9022009,[10]=9022010,[11]=9022009,[12]=9022009","{""exp"",59900000},{""funds"",278600}",220,第220关,"{""exp"",59900000},{""funds"",278600}"
231,9022110,0,0,"[2]=9022109,[3]=9022109,[4]=9022109,[5]=9022109,[6]=9022109,[8]=9022109,[9]=9022109,[10]=9022110,[11]=9022109,[12]=9022109","{""exp"",60200000},{""funds"",696500}",221,第221关,"{""exp"",60200000},{""funds"",696500}"
232,9022210,0,0,"[2]=9022209,[3]=9022209,[4]=9022209,[5]=9022209,[6]=9022209,[8]=9022209,[9]=9022209,[10]=9022210,[11]=9022209,[12]=9022209","{""exp"",60400000},{""item"",60019,72}",222,第222关,"{""exp"",60400000},{""item"",60019,72}"
233,9022310,0,0,"[2]=9022309,[3]=9022309,[4]=9022309,[5]=9022309,[6]=9022309,[8]=9022309,[9]=9022309,[10]=9022310,[11]=9022309,[12]=9022309","{""exp"",60700000},{""funds"",286100}",223,第223关,"{""exp"",60700000},{""funds"",286100}"
234,9022410,0,0,"[2]=9022409,[3]=9022409,[4]=9022409,[5]=9022409,[6]=9022409,[8]=9022409,[9]=9022409,[10]=9022410,[11]=9022409,[12]=9022409","{""exp"",61000000},{""funds"",715250}",224,第224关,"{""exp"",61000000},{""funds"",715250}"
235,9022510,0,0,"[2]=9022509,[3]=9022509,[4]=9022509,[5]=9022509,[6]=9022509,[8]=9022509,[9]=9022509,[10]=9022510,[11]=9022509,[12]=9022509","{""exp"",61200000},{""item"",60019,72}",225,第225关,"{""exp"",61200000},{""item"",60019,72}"
236,9022610,0,0,"[2]=9022609,[3]=9022609,[4]=9022609,[5]=9022609,[6]=9022609,[8]=9022609,[9]=9022609,[10]=9022610,[11]=9022609,[12]=9022609","{""exp"",61500000},{""funds"",293700}",226,第226关,"{""exp"",61500000},{""funds"",293700}"
237,9022710,0,0,"[2]=9022709,[3]=9022709,[4]=9022709,[5]=9022709,[6]=9022709,[8]=9022709,[9]=9022709,[10]=9022710,[11]=9022709,[12]=9022709","{""exp"",61800000},{""funds"",734250}",227,第227关,"{""exp"",61800000},{""funds"",734250}"
238,9022810,0,0,"[2]=9022809,[3]=9022809,[4]=9022809,[5]=9022809,[6]=9022809,[8]=9022809,[9]=9022809,[10]=9022810,[11]=9022809,[12]=9022809","{""exp"",62000000},{""item"",60019,72}",228,第228关,"{""exp"",62000000},{""item"",60019,72}"
239,9022910,0,0,"[2]=9022909,[3]=9022909,[4]=9022909,[5]=9022909,[6]=9022909,[8]=9022909,[9]=9022909,[10]=9022910,[11]=9022909,[12]=9022909","{""exp"",62300000},{""funds"",301400}",229,第229关,"{""exp"",62300000},{""funds"",301400}"
240,9023010,0,0,"[2]=9023009,[3]=9023009,[4]=9023009,[5]=9023009,[6]=9023009,[8]=9023009,[9]=9023009,[10]=9023010,[11]=9023009,[12]=9023009","{""exp"",62600000},{""funds"",753500}",230,第230关,"{""exp"",62600000},{""funds"",753500}"
241,9023110,0,0,"[2]=9023109,[3]=9023109,[4]=9023109,[5]=9023109,[6]=9023109,[8]=9023109,[9]=9023109,[10]=9023110,[11]=9023109,[12]=9023109","{""exp"",62800000},{""item"",60019,72}",231,第231关,"{""exp"",62800000},{""item"",60019,72}"
242,9023210,0,0,"[2]=9023209,[3]=9023209,[4]=9023209,[5]=9023209,[6]=9023209,[8]=9023209,[9]=9023209,[10]=9023210,[11]=9023209,[12]=9023209","{""exp"",63100000},{""funds"",309200}",232,第232关,"{""exp"",63100000},{""funds"",309200}"
243,9023310,0,0,"[2]=9023309,[3]=9023309,[4]=9023309,[5]=9023309,[6]=9023309,[8]=9023309,[9]=9023309,[10]=9023310,[11]=9023309,[12]=9023309","{""exp"",63400000},{""funds"",773000}",233,第233关,"{""exp"",63400000},{""funds"",773000}"
244,9023410,0,0,"[2]=9023409,[3]=9023409,[4]=9023409,[5]=9023409,[6]=9023409,[8]=9023409,[9]=9023409,[10]=9023410,[11]=9023409,[12]=9023409","{""exp"",63600000},{""item"",60019,72}",234,第234关,"{""exp"",63600000},{""item"",60019,72}"
245,50000004,0,0,"[2]=9023509,[3]=9023509,[4]=9023509,[5]=9023509,[6]=9023509,[8]=9023509,[9]=9023509,[10]=9023510,[11]=9023509,[12]=9023509","{""exp"",63900000},{""funds"",317100}",235,第235关,"{""exp"",63900000},{""funds"",317100}"
246,9023610,0,0,"[2]=9023609,[3]=9023609,[4]=9023609,[5]=9023609,[6]=9023609,[8]=9023609,[9]=9023609,[10]=9023610,[11]=9023609,[12]=9023609","{""exp"",64200000},{""funds"",792750}",236,第236关,"{""exp"",64200000},{""funds"",792750}"
247,9023710,0,0,"[2]=9023709,[3]=9023709,[4]=9023709,[5]=9023709,[6]=9023709,[8]=9023709,[9]=9023709,[10]=9023710,[11]=9023709,[12]=9023709","{""exp"",64400000},{""item"",60019,72}",237,第237关,"{""exp"",64400000},{""item"",60019,72}"
248,9023810,0,0,"[2]=9023809,[3]=9023809,[4]=9023809,[5]=9023809,[6]=9023809,[8]=9023809,[9]=9023809,[10]=9023810,[11]=9023809,[12]=9023809","{""exp"",64700000},{""funds"",325100}",238,第238关,"{""exp"",64700000},{""funds"",325100}"
249,9023910,0,0,"[2]=9023909,[3]=9023909,[4]=9023909,[5]=9023909,[6]=9023909,[8]=9023909,[9]=9023909,[10]=9023910,[11]=9023909,[12]=9023909","{""exp"",65000000},{""funds"",812750}",239,第239关,"{""exp"",65000000},{""funds"",812750}"
250,9024010,0,0,"[2]=9024009,[3]=9024009,[4]=9024009,[5]=9024009,[6]=9024009,[8]=9024009,[9]=9024009,[10]=9024010,[11]=9024009,[12]=9024009","{""exp"",65200000},{""item"",60019,72}",240,第240关,"{""exp"",65200000},{""item"",60019,72}"
251,9024110,0,0,"[2]=9024109,[3]=9024109,[4]=9024109,[5]=9024109,[6]=9024109,[8]=9024109,[9]=9024109,[10]=9024110,[11]=9024109,[12]=9024109","{""exp"",65500000},{""funds"",333200}",241,第241关,"{""exp"",65500000},{""funds"",333200}"
252,9024210,0,0,"[2]=9024209,[3]=9024209,[4]=9024209,[5]=9024209,[6]=9024209,[8]=9024209,[9]=9024209,[10]=9024210,[11]=9024209,[12]=9024209","{""exp"",65800000},{""funds"",833000}",242,第242关,"{""exp"",65800000},{""funds"",833000}"
253,9024310,0,0,"[2]=9024309,[3]=9024309,[4]=9024309,[5]=9024309,[6]=9024309,[8]=9024309,[9]=9024309,[10]=9024310,[11]=9024309,[12]=9024309","{""exp"",66000000},{""item"",60019,78}",243,第243关,"{""exp"",66000000},{""item"",60019,78}"
254,50000001,0,0,"[2]=9024409,[3]=9024409,[4]=9024409,[5]=9024409,[6]=9024409,[8]=9024409,[9]=9024409,[10]=9024410,[11]=9024409,[12]=9024409","{""exp"",66300000},{""funds"",341400}",244,第244关,"{""exp"",66300000},{""funds"",341400}"
255,9024510,0,0,"[2]=9024509,[3]=9024509,[4]=9024509,[5]=9024509,[6]=9024509,[8]=9024509,[9]=9024509,[10]=9024510,[11]=9024509,[12]=9024509","{""exp"",66600000},{""funds"",853500}",245,第245关,"{""exp"",66600000},{""funds"",853500}"
256,50000004,0,0,"[2]=9024609,[3]=9024609,[4]=9024609,[5]=9024609,[6]=9024609,[8]=9024609,[9]=9024609,[10]=9024610,[11]=9024609,[12]=9024609","{""exp"",66800000},{""item"",60019,78}",246,第246关,"{""exp"",66800000},{""item"",60019,78}"
257,9024710,0,0,"[2]=9024709,[3]=9024709,[4]=9024709,[5]=9024709,[6]=9024709,[8]=9024709,[9]=9024709,[10]=9024710,[11]=9024709,[12]=9024709","{""exp"",67100000},{""funds"",349700}",247,第247关,"{""exp"",67100000},{""funds"",349700}"
258,9024810,0,0,"[2]=9024809,[3]=9024809,[4]=9024809,[5]=9024809,[6]=9024809,[8]=9024809,[9]=9024809,[10]=9024810,[11]=9024809,[12]=9024809","{""exp"",67400000},{""funds"",874250}",248,第248关,"{""exp"",67400000},{""funds"",874250}"
259,9024910,0,0,"[2]=9024909,[3]=9024909,[4]=9024909,[5]=9024909,[6]=9024909,[8]=9024909,[9]=9024909,[10]=9024910,[11]=9024909,[12]=9024909","{""exp"",67600000},{""item"",60019,78}",249,第249关,"{""exp"",67600000},{""item"",60019,78}"
260,9025010,0,0,"[2]=9025009,[3]=9025009,[4]=9025009,[5]=9025009,[6]=9025009,[8]=9025009,[9]=9025009,[10]=9025010,[11]=9025009,[12]=9025009","{""exp"",67900000},{""funds"",358100}",250,第250关,"{""exp"",67900000},{""funds"",358100}"
261,9025110,0,0,"[2]=9025109,[3]=9025109,[4]=9025109,[5]=9025109,[6]=9025109,[8]=9025109,[9]=9025109,[10]=9025110,[11]=9025109,[12]=9025109","{""exp"",68200000},{""funds"",895250}",251,第251关,"{""exp"",68200000},{""funds"",895250}"
262,50000003,0,0,"[2]=9025209,[3]=9025209,[4]=9025209,[5]=9025209,[6]=9025209,[8]=9025209,[9]=9025209,[10]=9025210,[11]=9025209,[12]=9025209","{""exp"",68400000},{""item"",60019,78}",252,第252关,"{""exp"",68400000},{""item"",60019,78}"
263,9025310,0,0,"[2]=9025309,[3]=9025309,[4]=9025309,[5]=9025309,[6]=9025309,[8]=9025309,[9]=9025309,[10]=9025310,[11]=9025309,[12]=9025309","{""exp"",68700000},{""funds"",366600}",253,第253关,"{""exp"",68700000},{""funds"",366600}"
264,9025410,0,0,"[2]=9025409,[3]=9025409,[4]=9025409,[5]=9025409,[6]=9025409,[8]=9025409,[9]=9025409,[10]=9025410,[11]=9025409,[12]=9025409","{""exp"",69000000},{""funds"",916500}",254,第254关,"{""exp"",69000000},{""funds"",916500}"
265,9025510,0,0,"[2]=9025509,[3]=9025509,[4]=9025509,[5]=9025509,[6]=9025509,[8]=9025509,[9]=9025509,[10]=9025510,[11]=9025509,[12]=9025509","{""exp"",69200000},{""item"",60019,78}",255,第255关,"{""exp"",69200000},{""item"",60019,78}"
266,9025610,0,0,"[2]=9025609,[3]=9025609,[4]=9025609,[5]=9025609,[6]=9025609,[8]=9025609,[9]=9025609,[10]=9025610,[11]=9025609,[12]=9025609","{""exp"",69500000},{""funds"",375200}",256,第256关,"{""exp"",69500000},{""funds"",375200}"
267,9025710,0,0,"[2]=9025709,[3]=9025709,[4]=9025709,[5]=9025709,[6]=9025709,[8]=9025709,[9]=9025709,[10]=9025710,[11]=9025709,[12]=9025709","{""exp"",69800000},{""funds"",938000}",257,第257关,"{""exp"",69800000},{""funds"",938000}"
268,9025810,0,0,"[2]=9025809,[3]=9025809,[4]=9025809,[5]=9025809,[6]=9025809,[8]=9025809,[9]=9025809,[10]=9025810,[11]=9025809,[12]=9025809","{""exp"",70000000},{""item"",60019,78}",258,第258关,"{""exp"",70000000},{""item"",60019,78}"
269,9025910,0,0,"[2]=9025909,[3]=9025909,[4]=9025909,[5]=9025909,[6]=9025909,[8]=9025909,[9]=9025909,[10]=9025910,[11]=9025909,[12]=9025909","{""exp"",70300000},{""funds"",383900}",259,第259关,"{""exp"",70300000},{""funds"",383900}"
270,9026010,0,0,"[2]=9026009,[3]=9026009,[4]=9026009,[5]=9026009,[6]=9026009,[8]=9026009,[9]=9026009,[10]=9026010,[11]=9026009,[12]=9026009","{""exp"",70600000},{""funds"",959750}",260,第260关,"{""exp"",70600000},{""funds"",959750}"
271,9026110,0,0,"[2]=9026109,[3]=9026109,[4]=9026109,[5]=9026109,[6]=9026109,[8]=9026109,[9]=9026109,[10]=9026110,[11]=9026109,[12]=9026109","{""exp"",70800000},{""item"",60019,78}",261,第261关,"{""exp"",70800000},{""item"",60019,78}"
272,9026210,0,0,"[2]=9026209,[3]=9026209,[4]=9026209,[5]=9026209,[6]=9026209,[8]=9026209,[9]=9026209,[10]=9026210,[11]=9026209,[12]=9026209","{""exp"",71100000},{""funds"",392700}",262,第262关,"{""exp"",71100000},{""funds"",392700}"
273,9026310,0,0,"[2]=9026309,[3]=9026309,[4]=9026309,[5]=9026309,[6]=9026309,[8]=9026309,[9]=9026309,[10]=9026310,[11]=9026309,[12]=9026309","{""exp"",71400000},{""funds"",981750}",263,第263关,"{""exp"",71400000},{""funds"",981750}"
274,9026410,0,0,"[2]=9026409,[3]=9026409,[4]=9026409,[5]=9026409,[6]=9026409,[8]=9026409,[9]=9026409,[10]=9026410,[11]=9026409,[12]=9026409","{""exp"",71600000},{""item"",60019,78}",264,第264关,"{""exp"",71600000},{""item"",60019,78}"
275,9026510,0,0,"[2]=9026509,[3]=9026509,[4]=9026509,[5]=9026509,[6]=9026509,[8]=9026509,[9]=9026509,[10]=9026510,[11]=9026509,[12]=9026509","{""exp"",71900000},{""funds"",401600}",265,第265关,"{""exp"",71900000},{""funds"",401600}"
276,50000005,0,0,"[2]=9026609,[3]=9026609,[4]=9026609,[5]=9026609,[6]=9026609,[8]=9026609,[9]=9026609,[10]=9026610,[11]=9026609,[12]=9026609","{""exp"",72200000},{""funds"",1004000}",266,第266关,"{""exp"",72200000},{""funds"",1004000}"
277,9026710,0,0,"[2]=9026709,[3]=9026709,[4]=9026709,[5]=9026709,[6]=9026709,[8]=9026709,[9]=9026709,[10]=9026710,[11]=9026709,[12]=9026709","{""exp"",72400000},{""item"",60019,84}",267,第267关,"{""exp"",72400000},{""item"",60019,84}"
278,9026810,0,0,"[2]=9026809,[3]=9026809,[4]=9026809,[5]=9026809,[6]=9026809,[8]=9026809,[9]=9026809,[10]=9026810,[11]=9026809,[12]=9026809","{""exp"",72700000},{""funds"",410600}",268,第268关,"{""exp"",72700000},{""funds"",410600}"
279,9026910,0,0,"[2]=9026909,[3]=9026909,[4]=9026909,[5]=9026909,[6]=9026909,[8]=9026909,[9]=9026909,[10]=9026910,[11]=9026909,[12]=9026909","{""exp"",73000000},{""funds"",1026500}",269,第269关,"{""exp"",73000000},{""funds"",1026500}"
280,9027010,0,0,"[2]=9027009,[3]=9027009,[4]=9027009,[5]=9027009,[6]=9027009,[8]=9027009,[9]=9027009,[10]=9027010,[11]=9027009,[12]=9027009","{""exp"",73200000},{""item"",60019,84}",270,第270关,"{""exp"",73200000},{""item"",60019,84}"
281,9027110,0,0,"[2]=9027109,[3]=9027109,[4]=9027109,[5]=9027109,[6]=9027109,[8]=9027109,[9]=9027109,[10]=9027110,[11]=9027109,[12]=9027109","{""exp"",73500000},{""funds"",419700}",271,第271关,"{""exp"",73500000},{""funds"",419700}"
282,9027210,0,0,"[2]=9027209,[3]=9027209,[4]=9027209,[5]=9027209,[6]=9027209,[8]=9027209,[9]=9027209,[10]=9027210,[11]=9027209,[12]=9027209","{""exp"",73800000},{""funds"",1049250}",272,第272关,"{""exp"",73800000},{""funds"",1049250}"
283,9027310,0,0,"[2]=9027309,[3]=9027309,[4]=9027309,[5]=9027309,[6]=9027309,[8]=9027309,[9]=9027309,[10]=9027310,[11]=9027309,[12]=9027309","{""exp"",74000000},{""item"",60019,84}",273,第273关,"{""exp"",74000000},{""item"",60019,84}"
284,9027410,0,0,"[2]=9027409,[3]=9027409,[4]=9027409,[5]=9027409,[6]=9027409,[8]=9027409,[9]=9027409,[10]=9027410,[11]=9027409,[12]=9027409","{""exp"",74300000},{""funds"",428900}",274,第274关,"{""exp"",74300000},{""funds"",428900}"
285,9027510,0,0,"[2]=9027509,[3]=9027509,[4]=9027509,[5]=9027509,[6]=9027509,[8]=9027509,[9]=9027509,[10]=9027510,[11]=9027509,[12]=9027509","{""exp"",74600000},{""funds"",1072250}",275,第275关,"{""exp"",74600000},{""funds"",1072250}"
286,50000006,0,0,"[2]=9027609,[3]=9027609,[4]=9027609,[5]=9027609,[6]=9027609,[8]=9027609,[9]=9027609,[10]=9027610,[11]=9027609,[12]=9027609","{""exp"",74800000},{""item"",60019,84}",276,第276关,"{""exp"",74800000},{""item"",60019,84}"
287,9027710,0,0,"[2]=9027709,[3]=9027709,[4]=9027709,[5]=9027709,[6]=9027709,[8]=9027709,[9]=9027709,[10]=9027710,[11]=9027709,[12]=9027709","{""exp"",75100000},{""funds"",438200}",277,第277关,"{""exp"",75100000},{""funds"",438200}"
288,9027810,0,0,"[2]=9027809,[3]=9027809,[4]=9027809,[5]=9027809,[6]=9027809,[8]=9027809,[9]=9027809,[10]=9027810,[11]=9027809,[12]=9027809","{""exp"",75400000},{""funds"",1095500}",278,第278关,"{""exp"",75400000},{""funds"",1095500}"
289,9027910,0,0,"[2]=9027909,[3]=9027909,[4]=9027909,[5]=9027909,[6]=9027909,[8]=9027909,[9]=9027909,[10]=9027910,[11]=9027909,[12]=9027909","{""exp"",75600000},{""item"",60019,84}",279,第279关,"{""exp"",75600000},{""item"",60019,84}"
290,9028010,0,0,"[2]=9028009,[3]=9028009,[4]=9028009,[5]=9028009,[6]=9028009,[8]=9028009,[9]=9028009,[10]=9028010,[11]=9028009,[12]=9028009","{""exp"",75900000},{""funds"",447600}",280,第280关,"{""exp"",75900000},{""funds"",447600}"
291,9028110,0,0,"[2]=9028109,[3]=9028109,[4]=9028109,[5]=9028109,[6]=9028109,[8]=9028109,[9]=9028109,[10]=9028110,[11]=9028109,[12]=9028109","{""exp"",76200000},{""funds"",1119000}",281,第281关,"{""exp"",76200000},{""funds"",1119000}"
292,9028210,0,0,"[2]=9028209,[3]=9028209,[4]=9028209,[5]=9028209,[6]=9028209,[8]=9028209,[9]=9028209,[10]=9028210,[11]=9028209,[12]=9028209","{""exp"",76400000},{""item"",60019,84}",282,第282关,"{""exp"",76400000},{""item"",60019,84}"
293,9028310,0,0,"[2]=9028309,[3]=9028309,[4]=9028309,[5]=9028309,[6]=9028309,[8]=9028309,[9]=9028309,[10]=9028310,[11]=9028309,[12]=9028309","{""exp"",76700000},{""funds"",457100}",283,第283关,"{""exp"",76700000},{""funds"",457100}"
294,9028410,0,0,"[2]=9028409,[3]=9028409,[4]=9028409,[5]=9028409,[6]=9028409,[8]=9028409,[9]=9028409,[10]=9028410,[11]=9028409,[12]=9028409","{""exp"",77000000},{""funds"",1142750}",284,第284关,"{""exp"",77000000},{""funds"",1142750}"
295,9028510,0,0,"[2]=9028509,[3]=9028509,[4]=9028509,[5]=9028509,[6]=9028509,[8]=9028509,[9]=9028509,[10]=9028510,[11]=9028509,[12]=9028509","{""exp"",77200000},{""item"",60019,84}",285,第285关,"{""exp"",77200000},{""item"",60019,84}"
296,9028610,0,0,"[2]=9028609,[3]=9028609,[4]=9028609,[5]=9028609,[6]=9028609,[8]=9028609,[9]=9028609,[10]=9028610,[11]=9028609,[12]=9028609","{""exp"",77500000},{""funds"",466700}",286,第286关,"{""exp"",77500000},{""funds"",466700}"
297,9028710,0,0,"[2]=9028709,[3]=9028709,[4]=9028709,[5]=9028709,[6]=9028709,[8]=9028709,[9]=9028709,[10]=9028710,[11]=9028709,[12]=9028709","{""exp"",77800000},{""funds"",1166750}",287,第287关,"{""exp"",77800000},{""funds"",1166750}"
298,9028810,0,0,"[2]=9028809,[3]=9028809,[4]=9028809,[5]=9028809,[6]=9028809,[8]=9028809,[9]=9028809,[10]=9028810,[11]=9028809,[12]=9028809","{""exp"",78000000},{""item"",60019,84}",288,第288关,"{""exp"",78000000},{""item"",60019,84}"
299,9028910,0,0,"[2]=9028909,[3]=9028909,[4]=9028909,[5]=9028909,[6]=9028909,[8]=9028909,[9]=9028909,[10]=9028910,[11]=9028909,[12]=9028909","{""exp"",78300000},{""funds"",476400}",289,第289关,"{""exp"",78300000},{""funds"",476400}"
300,9029010,0,0,"[2]=9029009,[3]=9029009,[4]=9029009,[5]=9029009,[6]=9029009,[8]=9029009,[9]=9029009,[10]=9029010,[11]=9029009,[12]=9029009","{""exp"",78600000},{""funds"",1191000}",290,第290关,"{""exp"",78600000},{""funds"",1191000}"
301,9029110,0,0,"[2]=9029109,[3]=9029109,[4]=9029109,[5]=9029109,[6]=9029109,[8]=9029109,[9]=9029109,[10]=9029110,[11]=9029109,[12]=9029109","{""exp"",78800000},{""item"",60019,90}",291,第291关,"{""exp"",78800000},{""item"",60019,90}"
302,9029210,0,0,"[2]=9029209,[3]=9029209,[4]=9029209,[5]=9029209,[6]=9029209,[8]=9029209,[9]=9029209,[10]=9029210,[11]=9029209,[12]=9029209","{""exp"",79100000},{""funds"",486200}",292,第292关,"{""exp"",79100000},{""funds"",486200}"
303,9029310,0,0,"[2]=9029309,[3]=9029309,[4]=9029309,[5]=9029309,[6]=9029309,[8]=9029309,[9]=9029309,[10]=9029310,[11]=9029309,[12]=9029309","{""exp"",79400000},{""funds"",1215500}",293,第293关,"{""exp"",79400000},{""funds"",1215500}"
304,9029410,0,0,"[2]=9029409,[3]=9029409,[4]=9029409,[5]=9029409,[6]=9029409,[8]=9029409,[9]=9029409,[10]=9029410,[11]=9029409,[12]=9029409","{""exp"",79600000},{""item"",60019,90}",294,第294关,"{""exp"",79600000},{""item"",60019,90}"
305,50000006,0,0,"[2]=9029509,[3]=9029509,[4]=9029509,[5]=9029509,[6]=9029509,[8]=9029509,[9]=9029509,[10]=9029510,[11]=9029509,[12]=9029509","{""exp"",79900000},{""funds"",496100}",295,第295关,"{""exp"",79900000},{""funds"",496100}"
306,50000005,0,0,"[2]=9029609,[3]=9029609,[4]=9029609,[5]=9029609,[6]=9029609,[8]=9029609,[9]=9029609,[10]=9029610,[11]=9029609,[12]=9029609","{""exp"",80200000},{""funds"",1240250}",296,第296关,"{""exp"",80200000},{""funds"",1240250}"
307,50000001,0,0,"[2]=9029709,[3]=9029709,[4]=9029709,[5]=9029709,[6]=9029709,[8]=9029709,[9]=9029709,[10]=9029710,[11]=9029709,[12]=9029709","{""exp"",80400000},{""item"",60019,90}",297,第297关,"{""exp"",80400000},{""item"",60019,90}"
