神龙宝藏索引,章节,怪物entryId,等级（要求）,挑战次数（每天）,能否组队,怪物列表,挑战奖励,首通奖励,挖宝星级,章节名称,进度（关）,首通奖励预览,通关奖励预览
106,26,5009610,132,1,0,"[2]=5009609,[3]=5009609,[4]=5009609,[5]=5009609,[6]=5009609,[8]=5009609,[9]=5009609,[10]=5009610,[11]=5009609,[12]=5009609","{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图16,96,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
107,27,5009710,132,1,0,"[2]=5009709,[3]=5009709,[4]=5009709,[5]=5009709,[6]=5009709,[8]=5009709,[9]=5009709,[10]=5009710,[11]=5009709,[12]=5009709","{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图17,97,"{60056, 100}","{60061,860000},{60055,51000},{20013,2}"
108,27,50000001,132,1,0,"[2]=5009809,[3]=5009809,[4]=5009809,[5]=5009809,[6]=5009809,[8]=5009809,[9]=5009809,[10]=5009810,[11]=5009809,[12]=5009809","{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图17,98,"{60056, 100}","{60061,860000},{60055,51000},{20013,2}"
109,27,5009910,132,1,0,"[2]=5009909,[3]=5009909,[4]=5009909,[5]=5009909,[6]=5009909,[8]=5009909,[9]=5009909,[10]=5009910,[11]=5009909,[12]=5009909","{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图17,99,"{60056, 100}","{60061,860000},{60055,51000},{20013,2}"
110,27,5010010,132,1,0,"[2]=5010009,[3]=5010009,[4]=5010009,[5]=5010009,[6]=5010009,[8]=5010009,[9]=5010009,[10]=5010010,[11]=5010009,[12]=5010009","{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图17,100,"{60056, 100}","{60061,860000},{60055,51000},{20013,2}"
111,27,5010110,132,1,0,"[2]=5010109,[3]=5010109,[4]=5010109,[5]=5010109,[6]=5010109,[8]=5010109,[9]=5010109,[10]=5010110,[11]=5010109,[12]=5010109","{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图17,101,"{60056, 100}","{60061,860000},{60055,51000},{20013,2}"
112,27,5010210,132,1,0,"[2]=5010209,[3]=5010209,[4]=5010209,[5]=5010209,[6]=5010209,[8]=5010209,[9]=5010209,[10]=5010210,[11]=5010209,[12]=5010209","{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100},{""item"",63014,1}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图17,102,"{60056, 100},{63014, 1}","{60061,860000},{60055,51000},{20013,2}"
113,28,5010310,132,1,0,"[2]=5010309,[3]=5010309,[4]=5010309,[5]=5010309,[6]=5010309,[8]=5010309,[9]=5010309,[10]=5010310,[11]=5010309,[12]=5010309","{""exp"",860000},{""funds"",52000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",8000000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11800000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图18,103,"{60056, 100}","{60061,860000},{60055,52000},{20013,2}"
114,28,50000001,132,1,0,"[2]=5010409,[3]=5010409,[4]=5010409,[5]=5010409,[6]=5010409,[8]=5010409,[9]=5010409,[10]=5010410,[11]=5010409,[12]=5010409","{""exp"",860000},{""funds"",52000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",8000000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11800000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图18,104,"{60056, 100}","{60061,860000},{60055,52000},{20013,2}"
115,28,5010510,132,1,0,"[2]=5010509,[3]=5010509,[4]=5010509,[5]=5010509,[6]=5010509,[8]=5010509,[9]=5010509,[10]=5010510,[11]=5010509,[12]=5010509","{""exp"",860000},{""funds"",52000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",8000000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11800000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图18,105,"{60056, 100}","{60061,860000},{60055,52000},{20013,2}"
116,28,5010610,132,1,0,"[2]=5010609,[3]=5010609,[4]=5010609,[5]=5010609,[6]=5010609,[8]=5010609,[9]=5010609,[10]=5010610,[11]=5010609,[12]=5010609","{""exp"",860000},{""funds"",52000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",8000000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11800000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图18,106,"{60056, 100}","{60061,860000},{60055,52000},{20013,2}"
117,28,5010710,132,1,0,"[2]=5010709,[3]=5010709,[4]=5010709,[5]=5010709,[6]=5010709,[8]=5010709,[9]=5010709,[10]=5010710,[11]=5010709,[12]=5010709","{""exp"",860000},{""funds"",52000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",8000000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11800000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图18,107,"{60056, 100}","{60061,860000},{60055,52000},{20013,2}"
118,28,5010810,132,1,0,"[2]=5010809,[3]=5010809,[4]=5010809,[5]=5010809,[6]=5010809,[8]=5010809,[9]=5010809,[10]=5010810,[11]=5010809,[12]=5010809","{""exp"",860000},{""funds"",52000},{""item"",20013,2}","{""bindRmb"",100},{""item"",40026,1}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",8000000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11800000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图18,108,"{60056, 100},{40026, 1}","{60061,860000},{60055,52000},{20013,2}"
119,29,5010910,152,1,0,"[2]=5010909,[3]=5010909,[4]=5010909,[5]=5010909,[6]=5010909,[8]=5010909,[9]=5010909,[10]=5010910,[11]=5010909,[12]=5010909","{""exp"",745000},{""funds"",53000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8400000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",12400000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图19,109,"{60056, 100}","{60061,745000},{60055,53000},{20013,2}"
120,29,5011010,152,1,0,"[2]=5011009,[3]=5011009,[4]=5011009,[5]=5011009,[6]=5011009,[8]=5011009,[9]=5011009,[10]=5011010,[11]=5011009,[12]=5011009","{""exp"",745000},{""funds"",53000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8400000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",12400000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图19,110,"{60056, 100}","{60061,745000},{60055,53000},{20013,2}"
121,29,5011110,152,1,0,"[2]=5011109,[3]=5011109,[4]=5011109,[5]=5011109,[6]=5011109,[8]=5011109,[9]=5011109,[10]=5011110,[11]=5011109,[12]=5011109","{""exp"",745000},{""funds"",53000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8400000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",12400000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图19,111,"{60056, 100}","{60061,745000},{60055,53000},{20013,2}"
122,29,5011210,152,1,0,"[2]=5011209,[3]=5011209,[4]=5011209,[5]=5011209,[6]=5011209,[8]=5011209,[9]=5011209,[10]=5011210,[11]=5011209,[12]=5011209","{""exp"",745000},{""funds"",53000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8400000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",12400000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图19,112,"{60056, 100}","{60061,745000},{60055,53000},{20013,2}"
123,29,5011310,152,1,0,"[2]=5011309,[3]=5011309,[4]=5011309,[5]=5011309,[6]=5011309,[8]=5011309,[9]=5011309,[10]=5011310,[11]=5011309,[12]=5011309","{""exp"",745000},{""funds"",53000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8400000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",12400000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图19,113,"{60056, 100}","{60061,745000},{60055,53000},{20013,2}"
124,29,5011410,152,1,0,"[2]=5011409,[3]=5011409,[4]=5011409,[5]=5011409,[6]=5011409,[8]=5011409,[9]=5011409,[10]=5011410,[11]=5011409,[12]=5011409","{""exp"",745000},{""funds"",53000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8400000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",12400000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图19,114,"{60056, 100}","{60061,745000},{60055,53000},{20013,2}"
125,30,5011510,152,1,0,"[2]=5011509,[3]=5011509,[4]=5011509,[5]=5011509,[6]=5011509,[8]=5011509,[9]=5011509,[10]=5011510,[11]=5011509,[12]=5011509","{""exp"",745000},{""funds"",54000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8800000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",13000000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图20,115,"{60056, 100}","{60061,745000},{60055,54000},{20013,2}"
126,30,5011610,152,1,0,"[2]=5011609,[3]=5011609,[4]=5011609,[5]=5011609,[6]=5011609,[8]=5011609,[9]=5011609,[10]=5011610,[11]=5011609,[12]=5011609","{""exp"",745000},{""funds"",54000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8800000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",13000000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图20,116,"{60056, 100}","{60061,745000},{60055,54000},{20013,2}"
127,30,5011710,152,1,0,"[2]=5011709,[3]=5011709,[4]=5011709,[5]=5011709,[6]=5011709,[8]=5011709,[9]=5011709,[10]=5011710,[11]=5011709,[12]=5011709","{""exp"",745000},{""funds"",54000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8800000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",13000000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图20,117,"{60056, 100}","{60061,745000},{60055,54000},{20013,2}"
128,30,5011810,152,1,0,"[2]=5011809,[3]=5011809,[4]=5011809,[5]=5011809,[6]=5011809,[8]=5011809,[9]=5011809,[10]=5011810,[11]=5011809,[12]=5011809","{""exp"",745000},{""funds"",54000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8800000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",13000000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图20,118,"{60056, 100}","{60061,745000},{60055,54000},{20013,2}"
129,30,5011910,152,1,0,"[2]=5011909,[3]=5011909,[4]=5011909,[5]=5011909,[6]=5011909,[8]=5011909,[9]=5011909,[10]=5011910,[11]=5011909,[12]=5011909","{""exp"",745000},{""funds"",54000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8800000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",13000000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图20,119,"{60056, 100}","{60061,745000},{60055,54000},{20013,2}"
130,30,5012010,152,1,0,"[2]=5012009,[3]=5012009,[4]=5012009,[5]=5012009,[6]=5012009,[8]=5012009,[9]=5012009,[10]=5012010,[11]=5012009,[12]=5012009","{""exp"",745000},{""funds"",54000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",8800000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",13000000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图20,120,"{60056, 100}","{60061,745000},{60055,54000},{20013,2}"
131,31,50000005,152,1,0,"[2]=5012109,[3]=5012109,[4]=5012109,[5]=5012109,[6]=5012109,[8]=5012109,[9]=5012109,[10]=5012110,[11]=5012109,[12]=5012109","{""exp"",745000},{""funds"",55000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",9200000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",13600000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图21,121,"{60056, 100}","{60061,745000},{60055,55000},{20013,2}"
132,31,5012210,152,1,0,"[2]=5012209,[3]=5012209,[4]=5012209,[5]=5012209,[6]=5012209,[8]=5012209,[9]=5012209,[10]=5012210,[11]=5012209,[12]=5012209","{""exp"",745000},{""funds"",55000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",9200000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",13600000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图21,122,"{60056, 100}","{60061,745000},{60055,55000},{20013,2}"
133,31,5012310,152,1,0,"[2]=5012309,[3]=5012309,[4]=5012309,[5]=5012309,[6]=5012309,[8]=5012309,[9]=5012309,[10]=5012310,[11]=5012309,[12]=5012309","{""exp"",745000},{""funds"",55000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",9200000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",13600000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图21,123,"{60056, 100}","{60061,745000},{60055,55000},{20013,2}"
134,31,5012410,152,1,0,"[2]=5012409,[3]=5012409,[4]=5012409,[5]=5012409,[6]=5012409,[8]=5012409,[9]=5012409,[10]=5012410,[11]=5012409,[12]=5012409","{""exp"",745000},{""funds"",55000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",9200000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",13600000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图21,124,"{60056, 100}","{60061,745000},{60055,55000},{20013,2}"
135,31,5012510,152,1,0,"[2]=5012509,[3]=5012509,[4]=5012509,[5]=5012509,[6]=5012509,[8]=5012509,[9]=5012509,[10]=5012510,[11]=5012509,[12]=5012509","{""exp"",745000},{""funds"",55000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",9200000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",13600000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图21,125,"{60056, 100}","{60061,745000},{60055,55000},{20013,2}"
136,31,5012610,152,1,0,"[2]=5012609,[3]=5012609,[4]=5012609,[5]=5012609,[6]=5012609,[8]=5012609,[9]=5012609,[10]=5012610,[11]=5012609,[12]=5012609","{""exp"",745000},{""funds"",55000},{""item"",20013,2}","{""bindRmb"",100},{""item"",63015,1}","[6]={{""bindRmb"",1200}, {""item"",20013,100}, {""exp"",9200000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",13600000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,234}}",宝藏图21,126,"{60056, 100},{63015, 1}","{60061,745000},{60055,55000},{20013,2}"
137,32,5012710,172,1,0,"[2]=5012709,[3]=5012709,[4]=5012709,[5]=5012709,[6]=5012709,[8]=5012709,[9]=5012709,[10]=5012710,[11]=5012709,[12]=5012709","{""exp"",802000},{""funds"",56000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",9600000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14200000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图22,127,"{60056, 100}","{60061,802000},{60055,56000},{20013,2}"
138,32,50000004,172,1,0,"[2]=5012809,[3]=5012809,[4]=5012809,[5]=5012809,[6]=5012809,[8]=5012809,[9]=5012809,[10]=5012810,[11]=5012809,[12]=5012809","{""exp"",802000},{""funds"",56000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",9600000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14200000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图22,128,"{60056, 100}","{60061,802000},{60055,56000},{20013,2}"
139,32,5012910,172,1,0,"[2]=5012909,[3]=5012909,[4]=5012909,[5]=5012909,[6]=5012909,[8]=5012909,[9]=5012909,[10]=5012910,[11]=5012909,[12]=5012909","{""exp"",802000},{""funds"",56000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",9600000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14200000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图22,129,"{60056, 100}","{60061,802000},{60055,56000},{20013,2}"
140,32,5013010,172,1,0,"[2]=5013009,[3]=5013009,[4]=5013009,[5]=5013009,[6]=5013009,[8]=5013009,[9]=5013009,[10]=5013010,[11]=5013009,[12]=5013009","{""exp"",802000},{""funds"",56000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",9600000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14200000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图22,130,"{60056, 100}","{60061,802000},{60055,56000},{20013,2}"
141,32,5013110,172,1,0,"[2]=5013109,[3]=5013109,[4]=5013109,[5]=5013109,[6]=5013109,[8]=5013109,[9]=5013109,[10]=5013110,[11]=5013109,[12]=5013109","{""exp"",802000},{""funds"",56000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",9600000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14200000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图22,131,"{60056, 100}","{60061,802000},{60055,56000},{20013,2}"
142,32,5013210,172,1,0,"[2]=5013209,[3]=5013209,[4]=5013209,[5]=5013209,[6]=5013209,[8]=5013209,[9]=5013209,[10]=5013210,[11]=5013209,[12]=5013209","{""exp"",802000},{""funds"",56000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",9600000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14200000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图22,132,"{60056, 100}","{60061,802000},{60055,56000},{20013,2}"
143,33,5013310,172,1,0,"[2]=5013309,[3]=5013309,[4]=5013309,[5]=5013309,[6]=5013309,[8]=5013309,[9]=5013309,[10]=5013310,[11]=5013309,[12]=5013309","{""exp"",802000},{""funds"",57000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",10000000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14800000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图23,133,"{60056, 100}","{60061,802000},{60055,57000},{20013,2}"
144,33,5013410,172,1,0,"[2]=5013409,[3]=5013409,[4]=5013409,[5]=5013409,[6]=5013409,[8]=5013409,[9]=5013409,[10]=5013410,[11]=5013409,[12]=5013409","{""exp"",802000},{""funds"",57000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",10000000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14800000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图23,134,"{60056, 100}","{60061,802000},{60055,57000},{20013,2}"
145,33,5013510,172,1,0,"[2]=5013509,[3]=5013509,[4]=5013509,[5]=5013509,[6]=5013509,[8]=5013509,[9]=5013509,[10]=5013510,[11]=5013509,[12]=5013509","{""exp"",802000},{""funds"",57000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",10000000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14800000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图23,135,"{60056, 100}","{60061,802000},{60055,57000},{20013,2}"
146,33,5013610,172,1,0,"[2]=5013609,[3]=5013609,[4]=5013609,[5]=5013609,[6]=5013609,[8]=5013609,[9]=5013609,[10]=5013610,[11]=5013609,[12]=5013609","{""exp"",802000},{""funds"",57000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",10000000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14800000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图23,136,"{60056, 100}","{60061,802000},{60055,57000},{20013,2}"
147,33,5013710,172,1,0,"[2]=5013709,[3]=5013709,[4]=5013709,[5]=5013709,[6]=5013709,[8]=5013709,[9]=5013709,[10]=5013710,[11]=5013709,[12]=5013709","{""exp"",802000},{""funds"",57000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",10000000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14800000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图23,137,"{60056, 100}","{60061,802000},{60055,57000},{20013,2}"
148,33,5013810,172,1,0,"[2]=5013809,[3]=5013809,[4]=5013809,[5]=5013809,[6]=5013809,[8]=5013809,[9]=5013809,[10]=5013810,[11]=5013809,[12]=5013809","{""exp"",802000},{""funds"",57000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",10000000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",14800000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图23,138,"{60056, 100}","{60061,802000},{60055,57000},{20013,2}"
149,34,50000005,172,1,0,"[2]=5013909,[3]=5013909,[4]=5013909,[5]=5013909,[6]=5013909,[8]=5013909,[9]=5013909,[10]=5013910,[11]=5013909,[12]=5013909","{""exp"",802000},{""funds"",58000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",10400000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",15400000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图24,139,"{60056, 100}","{60061,802000},{60055,58000},{20013,2}"
150,34,5014010,172,1,0,"[2]=5014009,[3]=5014009,[4]=5014009,[5]=5014009,[6]=5014009,[8]=5014009,[9]=5014009,[10]=5014010,[11]=5014009,[12]=5014009","{""exp"",802000},{""funds"",58000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",10400000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",15400000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图24,140,"{60056, 100}","{60061,802000},{60055,58000},{20013,2}"
151,34,5014110,172,1,0,"[2]=5014109,[3]=5014109,[4]=5014109,[5]=5014109,[6]=5014109,[8]=5014109,[9]=5014109,[10]=5014110,[11]=5014109,[12]=5014109","{""exp"",802000},{""funds"",58000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",10400000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",15400000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图24,141,"{60056, 100}","{60061,802000},{60055,58000},{20013,2}"
152,34,5014210,172,1,0,"[2]=5014209,[3]=5014209,[4]=5014209,[5]=5014209,[6]=5014209,[8]=5014209,[9]=5014209,[10]=5014210,[11]=5014209,[12]=5014209","{""exp"",802000},{""funds"",58000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1400}, {""item"",20013,110}, {""exp"",10400000}},[12]={{""bindRmb"",2400}, {""item"",60005,2}, {""exp"",15400000}},[18]={{""bindRmb"",4800}, {""item"",60005,2}, {""item"",20013,237}}",宝藏图24,142,"{60056, 100}","{60061,802000},{60055,58000},{20013,2}"
